dataset,imbalance_ratio,model,balanced_accuracy,f1,f1_std,f1_rep1,f1_rep2,f1_rep3,f1_rep4,f1_rep5,precision,recall,training_time,model_size_kb
OnlineShoppers,1,DecisionTree,0.8464444444444444,0.8464208946701259,0.0032658550357119284,0.8466987585084345,0.841241946460703,0.8503359239852586,0.844609933713137,0.8492179106830966,0.8472684205752412,0.8464444444444446,0.023232555389404295,6.041015625
OnlineShoppers,1,RandomForest,0.8568333333333333,0.8571212840164092,0.0012071484865444084,0.8565261944687258,0.85653716085853,0.8565861493423548,0.8564236517181397,0.8595332636942953,0.8558317067629935,0.8587777777777778,0.6220776081085205,3904.8037109375
OnlineShoppers,1,ExtraTrees,0.8287777777777778,0.8334300470856725,0.0025640034493048525,0.8342735308091139,0.8296093433329326,0.8322065266268694,0.8336276280816683,0.8374332065777782,0.8117668690266207,0.8567777777777777,0.4072560214996338,12038.525390625
OnlineShoppers,1,GradientBoosting,0.855111111111111,0.8549361262524208,0.0012956933909756756,0.8568802832411231,0.8555392784767306,0.8550456848931607,0.8542031296953689,0.8530122549557199,0.8562226069980773,0.8541111111111112,1.1656110858917237,841.3935546875
OnlineShoppers,1,XGBoost,0.8499444444444444,0.8501109996813947,0.0018034854288746251,0.8492737756856454,0.8524181112827176,0.8471019511492868,0.8508908088623937,0.8508703514269298,0.8494960188677615,0.8511111111111112,0.20059582710266113,330.3994140625
OnlineShoppers,1,LightGBM,0.8473333333333334,0.84848640711228,0.002617457899925923,0.8479242186739,0.8524887165383772,0.8446841087463948,0.8473640707714702,0.8499709208312576,0.8424208184378892,0.855,0.29439224243164064,677.08203125
OnlineShoppers,1,CatBoost,0.8560555555555557,0.8537638833681467,0.0009895188858588108,0.8539480948826259,0.8540249900915674,0.8545975231955151,0.8518436222900142,0.8544051863810109,0.8677001221829436,0.8406666666666667,1.3753117752075195,202.296875
OnlineShoppers,4,DecisionTree,0.7764583333333333,0.66033613843257,0.015040383273666389,0.6881581993206967,0.6428347007610136,0.6600198933140599,0.6558604714250849,0.6548074273419953,0.7201227574499317,0.6130555555555555,0.035187082290649416,6.041015625
OnlineShoppers,4,RandomForest,0.7827083333333333,0.6753485830574555,0.006450398268363028,0.6736307340289235,0.6698847276245227,0.6700491333803218,0.6874738732221183,0.6757044470313911,0.7459804598449985,0.6186111111111111,0.5956113719940186,3217.8759765625
OnlineShoppers,4,ExtraTrees,0.7183333333333334,0.5864885834444451,0.011910977446520055,0.5965707761091824,0.5929440763937274,0.5774692531039612,0.5978360561264955,0.5676227554888589,0.7885868796170935,0.46833333333333327,0.4066967010498047,9609.306640625
OnlineShoppers,4,GradientBoosting,0.7921180555555556,0.6857873991664881,0.0061575480783946195,0.6925973711588037,0.6819291838367977,0.6838486568747908,0.6931562848883926,0.6774054990736559,0.7388385846596067,0.641388888888889,1.1212514686584472,850.953125
OnlineShoppers,4,XGBoost,0.7865972222222222,0.6746147439393502,0.005948882413456112,0.6816138377709378,0.6757765443105461,0.6698738112849096,0.6799149131047212,0.6658946132256356,0.7224788958983471,0.6347222222222222,0.22329215049743653,325.150390625
OnlineShoppers,4,LightGBM,0.7870833333333332,0.6755633241299582,0.008596190285380789,0.6786111579450652,0.6736792355688809,0.6757541973822655,0.6882216706198454,0.6615503591337343,0.7226398116499695,0.6355555555555557,0.25175856590270995,677.7197265625
OnlineShoppers,4,CatBoost,0.8005555555555556,0.6961204619567481,0.003921471736852515,0.6984072745103931,0.6955334310617154,0.6944608093195108,0.7019553241724156,0.690245470719706,0.7377438090920723,0.6602777777777777,1.3535113906860352,202.53125
OnlineShoppers,9,DecisionTree,0.716574074074074,0.5330667962547456,0.005450841569901992,0.5231248878024496,0.5323549403247927,0.5374338326390827,0.5384880546015616,0.5339322659058414,0.6410231575566006,0.4627777777777778,0.02203685760498047,5.884765625
OnlineShoppers,9,RandomForest,0.683672839506173,0.5001786478222663,0.007065839004455744,0.49173603121657655,0.49904204238106065,0.5123981048122627,0.4953757004885896,0.5023413602128423,0.7358339248235778,0.38333333333333336,0.5475693321228028,2313.2216796875
OnlineShoppers,9,ExtraTrees,0.6223456790123457,0.380577557550136,0.004045834063253024,0.38172991567124764,0.37419380261155244,0.3845422657469605,0.3778019101572647,0.38461989356365467,0.8039810677989956,0.25166666666666665,0.37778913497924804,7280.9990234375
