dataset,imbalance_ratio,model,balanced_accuracy,f1,f1_std,f1_rep1,f1_rep2,f1_rep3,f1_rep4,f1_rep5,precision,recall,training_time,model_size_kb
OnlineShoppers,1,DecisionTree,0.8465,0.8463162541258986,0.0019487480652554138,0.8476758490450724,0.8455105884899858,0.8494278497126754,0.8446961372480501,0.8442708461337094,0.8473020173546308,0.8456666666666668,0.05979433059692383,6.0400390625
OnlineShoppers,1,RandomForest,0.8562222222222222,0.8564032784073919,0.0014322780199797526,0.8560213943941548,0.8573725421658219,0.8586646896018986,0.8549809444803932,0.8549768213946916,0.8552578877280778,0.8576666666666667,0.6900199031829835,3952.302734375
OnlineShoppers,1,ExtraTrees,0.8329999999999999,0.8371053139638874,0.001832828620112615,0.8381427626738264,0.8349008688152413,0.8400178926875105,0.8368858917586953,0.8355791538841635,0.8168839701321451,0.8585555555555554,0.39920873641967775,11841.3369140625
OnlineShoppers,1,GradientBoosting,0.8552777777777777,0.8542749398588919,0.0022590330070033915,0.850346263865433,0.8536526491318345,0.8570861642572261,0.8547719333379569,0.8555176887020093,0.8600958014354261,0.8486666666666666,1.2779369354248047,839.693359375
OnlineShoppers,1,XGBoost,0.8482777777777778,0.8479722145745567,0.0029301428676454487,0.8504299248980649,0.849699566169587,0.8453623700552738,0.8507799263901715,0.8435892853596867,0.8495873403029325,0.8465555555555555,0.18957829475402832,330.396484375
OnlineShoppers,1,LightGBM,0.8495555555555556,0.8502609834307364,0.0009847202936271345,0.8499280183021616,0.849440528746442,0.8521423538747909,0.850257457701837,0.8495365585284503,0.8460936858709787,0.8547777777777779,0.270989351272583,677.466796875
OnlineShoppers,1,CatBoost,0.8554999999999999,0.8532194497407589,0.0006533664628985623,0.8531478777576581,0.853600801973734,0.8524848193729904,0.8526090880681478,0.8542546615312648,0.8665279683313314,0.8404444444444443,1.2577808666229249,202.3271484375
OnlineShoppers,4,DecisionTree,0.7756597222222222,0.6613004169884661,0.005322946230716234,0.6598893463822458,0.6633053679755677,0.6521677255242083,0.6683801724566706,0.6627594726036378,0.7275473515389008,0.6088888888888889,0.024035444259643556,6.0400390625
OnlineShoppers,4,RandomForest,0.7828472222222221,0.6769701337656506,0.009364340071453685,0.6592972435817036,0.6764431500103669,0.6802234721022662,0.6857779224443469,0.6831088806895692,0.752192260275326,0.6169444444444444,0.5598984050750733,3184.90625
OnlineShoppers,4,ExtraTrees,0.7224305555555556,0.5924485740357581,0.007936600416826896,0.5914477372414575,0.6037534967438007,0.5987717440435638,0.5821437303068782,0.5861261618430906,0.7805546592537594,0.47888888888888886,0.40883444786071776,9497.7431640625
OnlineShoppers,4,GradientBoosting,0.7859722222222223,0.675971879415483,0.009294423809710094,0.6597754723799379,0.6774851303305123,0.6879925610545838,0.674198533888013,0.6804076994243681,0.7301990283485502,0.6305555555555555,1.1189236640930176,842.65234375
OnlineShoppers,4,XGBoost,0.7844791666666666,0.671783341230614,0.007543340805905504,0.6599308031992626,0.6742276489738896,0.6817121803743246,0.667088214883612,0.6759578587219817,0.721195888690401,0.6302777777777778,0.21330060958862304,325.1474609375
OnlineShoppers,4,LightGBM,0.7871180555555556,0.676572910164327,0.0066533524508110425,0.6645018601326016,0.6772303392610721,0.6827623508617078,0.6825936529908725,0.6757763475753805,0.7272129792303137,0.6341666666666668,0.24559381484985351,677.806640625
OnlineShoppers,4,CatBoost,0.7970486111111111,0.6916086887129558,0.004244958933754634,0.684143414869493,0.6947440982575156,0.6964623569075089,0.6906979435741574,0.691995629956104,0.7369319044684965,0.6527777777777777,1.2446465873718262,202.7333984375
OnlineShoppers,9,DecisionTree,0.7211111111111113,0.5338859858604474,0.016822027729254625,0.5042327205404187,0.5359194386670151,0.5336647623476269,0.5393258957936351,0.5562871119535411,0.6214486637150941,0.4755555555555555,0.02147115707397461,5.8837890625
OnlineShoppers,9,RandomForest,0.6841666666666667,0.5035335399402483,0.004179975187011151,0.5082755838416215,0.5051447111004126,0.4997760452551039,0.49750331979611273,0.5069680397079905,0.7446417739527393,0.38333333333333336,0.5470772647857666,2340.1015625
OnlineShoppers,9,ExtraTrees,0.6286111111111111,0.3954929760055327,0.01713570862843632,0.39132152569874534,0.40440657376433736,0.40974213497715806,0.36377193261616253,0.4082227129712604,0.8008380072422178,0.265,0.361823148727417,7259.6005859375
OnlineShoppers,9,GradientBoosting,0.7116666666666667,0.5356487270636618,0.010557652624125384,0.545446328844974,0.5416561495637311,0.5334068898010733,0.5160563536495584,0.5416779134589725,0.6749395959711586,0.4477777777777777,1.0302134895324706,841.5302734375
OnlineShoppers,9,XGBoost,0.7112345679012345,0.5219117757552864,0.008553335901325166,0.5383743698624087,0.5157073895960786,0.5204702309785418,0.514733828963958,0.5202730593754445,0.6187427766529194,0.45388888888888895,0.19415045738220216,327.6806640625
OnlineShoppers,9,LightGBM,0.7083641975308642,0.5244967020073952,0.012584292461625249,0.5486923611327132,0.5222010772251424,0.5135038440085943,0.5158185134518923,0.5222677142186336,0.6474273191616977,0.44388888888888883,0.27110626220703127,679.42578125
OnlineShoppers,9,CatBoost,0.7213888888888887,0.550573357470781,0.005167489876599119,0.549342907465113,0.54097344068929,0.5545037230189773,0.5534804184967137,0.5545662976838102,0.6753271186382019,0.46833333333333327,1.2159059619903565,202.8583984375
Bank,1,DecisionTree,0.7968333333333334,0.796471662816761,0.002331598557046393,0.795646080063946,0.798265848575862,0.7923154064802549,0.7973850351760499,0.7987459437876917,0.798214597648984,0.7956666666666666,0.04517632484436035,25.88671875
Bank,1,RandomForest,0.8492777777777779,0.8543844212800057,0.002205738206339412,0.8564577181071289,0.8536863559485963,0.8572574239049491,0.8511966643418608,0.8533239440974931,0.8263962108413975,0.8845555555555555,0.6093425369262695,7307.4296875
Bank,1,ExtraTrees,0.8231666666666666,0.8219036534497672,0.001438165318867824,0.8244150604930157,0.8204627857368735,0.8220097202556728,0.8205232389148044,0.8221074618484693,0.8277548746980979,0.8164444444444444,0.4310472869873047,8246.55078125
