dataset,imbalance_ratio,model,balanced_accuracy,f1,precision,recall,training_time,model_size_kb
Credit,1,XGBoost,0.6988888888888888,0.6796418022561068,0.7261977808787444,0.6388888888888888,0.24271512031555176,339.595703125
Credit,1,LightGBM,0.7044444444444445,0.689345161508412,0.7270280103871436,0.6555555555555556,0.34489998817443845,671.43359375
Credit,1,CatBoost,0.7080555555555555,0.6815399141072137,0.749652083744032,0.625,1.2822590351104737,137.921875
Credit,4,DecisionTree,0.6472222222222221,0.44364716695044376,0.5967254747016651,0.3541666666666667,0.03211698532104492,5.5712890625
Credit,4,RandomForest,0.65,0.45216222989090865,0.6498345748095394,0.3472222222222222,0.9792219638824463,5558.537109375
Credit,4,ExtraTrees,0.6298611111111111,0.41099995938662,0.650018548222444,0.3013888888888889,0.3620754718780518,8211.9619140625
Credit,4,GradientBoosting,0.6461805555555555,0.4422741898214987,0.5937770733377958,0.35416666666666663,1.6188310623168944,809.904296875
Credit,4,XGBoost,0.6392361111111111,0.4294433959245231,0.6420956341291781,0.325,0.24004678726196288,333.7998046875
Credit,4,LightGBM,0.6409722222222222,0.4330664548015684,0.6200432658040785,0.3333333333333333,0.4149043083190918,671.5390625
Credit,4,CatBoost,0.6442708333333333,0.44046218578827273,0.6436028764517137,0.3361111111111111,1.1548642635345459,138.1328125
Credit,9,DecisionTree,0.5699074074074074,0.23571562438646784,0.4565467212526036,0.16111111111111112,0.03276429176330566,4.7900390625
Credit,9,RandomForest,0.5186728395061728,0.08009364434558884,0.45298701298701294,0.04444444444444444,0.9395808219909668,3866.052734375
Credit,9,ExtraTrees,0.5049382716049383,0.026247436773752564,0.24,0.01388888888888889,0.3975170612335205,6683.4716796875
Credit,9,GradientBoosting,0.5425925925925925,0.16380806677452353,0.3453076923076923,0.10833333333333332,1.438996171951294,801.3232421875
Credit,9,XGBoost,0.5501543209876544,0.18422460650047837,0.4395292151948499,0.11666666666666667,0.4028233528137207,326.8076171875
Credit,9,LightGBM,0.5472222222222222,0.1752075834404025,0.41666040100250623,0.11111111111111112,0.35865445137023927,673.0556640625
Credit,9,CatBoost,0.5493827160493827,0.18173489617668434,0.45406268568033276,0.11388888888888889,1.049237108230591,138.03125
