dataset,size,model,balanced_accuracy,f1,precision,recall,training_time,model_size_kb
Credit,3000,GradientBoosting,0.6371794946854115,0.432511205368885,0.5902243239567863,0.3423900660742766,1.5586699008941651,853.099609375
Credit,3000,XGBoost,0.6413144233329063,0.4406954123976197,0.6153653142900292,0.3438140806561859,0.2278886318206787,334.7265625
Credit,3000,LightGBM,0.6322339421601226,0.42127967788318593,0.6101277508222938,0.32265892002734103,0.32712740898132325,672.154296875
Credit,3000,CatBoost,0.6428048131164326,0.4429309570913893,0.6465523902948025,0.3378104351788562,1.0383655548095703,137.8671875
Credit,9000,DecisionTree,0.6356274955376024,0.4286515541091097,0.6903854230046941,0.31105527638190955,0.1281947135925293,5.5712890625
Credit,9000,RandomForest,0.6490913913361386,0.45680824098995376,0.6577132375239028,0.350251256281407,3.2941729545593263,14316.6484375
Credit,9000,ExtraTrees,0.642301020078997,0.44300017468891506,0.6555161899591521,0.33467336683417087,0.9439644336700439,19340.0869140625
Credit,9000,GradientBoosting,0.6457827654678527,0.44993879467467846,0.6223195690035078,0.3527638190954774,3.4229174613952638,835.65234375
Credit,9000,XGBoost,0.6526462555287135,0.46379522431193915,0.6597415576647363,0.3577889447236181,0.3612633228302002,334.9365234375
Credit,9000,LightGBM,0.6435637531451838,0.44564057407934354,0.6500458275433072,0.33919597989949746,0.7381903171539307,671.841796875
Credit,9000,CatBoost,0.6567312310482512,0.47212309309519196,0.6730878921832428,0.36381909547738694,1.6047362327575683,137.6796875
