dataset,size,model,balanced_accuracy,macro_f1,macro_precision,macro_recall,training_time,model_size_kb
DryBean,1000,DecisionTree,0.8857489261235696,0.8876640877286462,0.8940333320551515,0.8857489261235696,0.011809444427490235,12.0556640625
DryBean,1000,RandomForest,0.9049335635412898,0.9071758649325774,0.9127722961036244,0.9049335635412898,0.27190914154052737,1030.3349609375
DryBean,1000,ExtraTrees,0.9150281681847666,0.9180628156869494,0.925677414816953,0.9150281681847666,0.2116151809692383,7223.7978515625
DryBean,1000,GradientBoosting,0.918850636443325,0.9213733559925246,0.9265358008604162,0.918850636443325,4.073089122772217,4939.0615234375
DryBean,1000,XGBoost,0.9264837301666443,0.9273156241672671,0.9309996445184187,0.9264837301666443,0.41549272537231446,961.21875
DryBean,1000,LightGBM,0.9281451639709353,0.9308915804460517,0.9363734071931568,0.9281451639709353,0.5007572174072266,2510.146484375
DryBean,1000,CatBoost,0.9263686071943786,0.9279397913160107,0.9325342739825224,0.9263686071943786,2.8560078144073486,655.5732421875
DryBean,3000,DecisionTree,0.9112453905447696,0.9111827419739079,0.9119305376205531,0.9112453905447696,0.04196929931640625,25.1806640625
DryBean,3000,RandomForest,0.9241268483272254,0.9262396172106694,0.9294485845167785,0.9241268483272254,0.7171041011810303,2650.537109375
DryBean,3000,ExtraTrees,0.926546394071684,0.9284901426419132,0.931315534807274,0.926546394071684,0.36298341751098634,18914.1298828125
DryBean,3000,GradientBoosting,0.9285189917409564,0.9306650918034484,0.9338455588569909,0.9285189917409564,9.023281908035278,5313.4375
DryBean,3000,XGBoost,0.9314170440680044,0.9331611855297346,0.9357096168192959,0.9314170440680044,0.852253532409668,1374.3935546875
DryBean,3000,LightGBM,0.9269352516865595,0.9287136655254701,0.9310799381617698,0.9269352516865595,0.858683967590332,3410.6875
DryBean,3000,CatBoost,0.93439541741438,0.9351724138453477,0.9367412739464154,0.93439541741438,3.6544698238372804,656.1201171875
DryBean,9000,DecisionTree,0.9141364389584575,0.9158610213111142,0.9181778754918195,0.9141364389584575,0.1386275291442871,52.13671875
DryBean,9000,RandomForest,0.9316255488411294,0.9332708010435147,0.9354204363680774,0.9316255488411294,2.6138176918029785,6727.841796875
DryBean,9000,ExtraTrees,0.9290638555736004,0.9309370056828298,0.9332476408234092,0.9290638555736004,0.8116370677947998,45843.9345703125
DryBean,9000,GradientBoosting,0.9332021180151052,0.9350267800759106,0.9372910574036075,0.9332021180151052,24.547017049789428,5408.3935546875
DryBean,9000,XGBoost,0.9364882796835939,0.9383525322629757,0.9406090925377761,0.9364882796835939,1.2725044250488282,1869.634765625
DryBean,9000,LightGBM,0.9359055799453229,0.937555509269717,0.9394897482969359,0.9359055799453229,1.7254274845123292,4521.0986328125
DryBean,9000,CatBoost,0.9374805955371217,0.9388391170523679,0.9405182920601325,0.9374805955371217,5.375962162017823,656.3388671875
Retail,1000,DecisionTree,0.6588788445530019,0.6558376611799872,0.6587850649662269,0.6588788445530019,0.01559433937072754,21.6650390625
Retail,1000,RandomForest,0.7347103880109498,0.7478473591585286,0.7676200573329339,0.7347103880109498,0.5887011051177978,5652.0791015625
Retail,1000,ExtraTrees,0.6505607926253993,0.6701636023267933,0.7069836919313575,0.6505607926253993,0.24654631614685057,13164.615234375
Retail,1000,GradientBoosting,0.7214110624925232,0.7355614286631909,0.7543931861787316,0.7214110624925232,2.1288877010345457,3264.892578125
Retail,1000,XGBoost,0.7306981786616618,0.7384288868341693,0.7496234858058056,0.7306981786616618,0.3145599365234375,1295.060546875
Retail,1000,LightGBM,0.7239520894015276,0.7289805264253214,0.7387103640642896,0.7239520894015276,0.46132450103759765,2705.0625
Retail,1000,CatBoost,0.7404047890002946,0.7498874508869335,0.7631630605298481,0.7404047890002946,0.9729518413543701,429.6201171875
Retail,3000,DecisionTree,0.6792001652099213,0.6792468739029591,0.6815320723026201,0.6792001652099213,0.02683730125427246,49.60546875
Retail,3000,RandomForest,0.7172142367858151,0.7308707584088323,0.7495739802745401,0.7172142367858151,1.5188029289245606,16365.1376953125
Retail,3000,ExtraTrees,0.6777123482384572,0.6967125822763194,0.7326855727799557,0.6777123482384572,0.4874412059783936,36927.15234375
Retail,3000,GradientBoosting,0.7194475026923925,0.7307543632568555,0.7454972489572317,0.7194475026923925,4.107295036315918,3294.2890625
Retail,3000,XGBoost,0.728148676719265,0.7373901439851959,0.7491929659031353,0.728148676719265,0.49413328170776366,1334.7177734375
Retail,3000,LightGBM,0.7225389971833085,0.7342838570848604,0.7495784144181398,0.7225389971833085,0.510541296005249,2680.091796875
Retail,3000,CatBoost,0.7305971197769174,0.7399381956008689,0.7526003829880795,0.7305971197769174,1.3857261657714843,429.7607421875
Retail,9000,DecisionTree,0.7053251903267472,0.7089925721054573,0.7135175125559796,0.7053251903267472,0.08118228912353516,92.1767578125
Retail,9000,RandomForest,0.7414162586895003,0.7532022115941173,0.7680680327873673,0.7414162586895003,4.711668539047241,45868.7666015625
Retail,9000,ExtraTrees,0.7085127515109366,0.7244883504953032,0.7485961650148579,0.7085127515109366,1.1948966979980469,92908.5673828125
Retail,9000,GradientBoosting,0.7515627574878965,0.7620706550082538,0.7745350674804212,0.7515627574878965,10.47085461616516,3332.2666015625
Retail,9000,XGBoost,0.7520743517160614,0.762192839871385,0.7743064982308547,0.7520743517160614,0.7223409652709961,1345.759765625
Retail,9000,LightGBM,0.7504266921739018,0.7602241911532713,0.7717724528603748,0.7504266921739018,0.7821379184722901,2678.3056640625
Retail,9000,CatBoost,0.7550018041680417,0.7648531312738387,0.7768912835301205,0.7550018041680417,2.3833733558654786,429.5029296875
